extractor,activation_function,optimizer,seq_len,model,0
MovenetExtractor,sigmoid,sgd,10,lstm1,0.7200554609298706
MovenetExtractor,sigmoid,sgd,10,lstm2,0.5715028643608093
MovenetExtractor,sigmoid,sgd,20,gru1,0.7439764142036438
MovenetExtractor,sigmoid,sgd,20,gru2,0.5715028643608093
MovenetExtractor,sigmoid,sgd,20,lstm1,0.724735677242279
MovenetExtractor,sigmoid,sgd,20,lstm2,0.5715028643608093
MovenetExtractor,sigmoid,sgd,50,gru1,0.7439764142036438
MovenetExtractor,sigmoid,sgd,50,gru2,0.5715028643608093
MovenetExtractor,sigmoid,sgd,50,lstm1,0.7542034983634949
MovenetExtractor,sigmoid,sgd,50,lstm2,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,10,gru1,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,10,gru2,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,10,lstm1,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,10,lstm2,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,20,gru1,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,20,gru2,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,20,lstm1,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,20,lstm2,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,50,gru1,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,50,gru2,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,50,lstm1,0.5715028643608093
MovenetExtractor,sigmoid,adagrad,50,lstm2,0.5715028643608093
