extractor,activation_function,optimizer,seq_len,model,0
InceptionExtractor,sigmoid,sgd,20,gru1,0.9913062453269958
InceptionExtractor,sigmoid,sgd,20,gru2,0.5594435930252075
InceptionExtractor,sigmoid,sgd,20,lstm1,0.9982612729072571
InceptionExtractor,sigmoid,sgd,20,lstm2,0.40295588970184326
InceptionExtractor,sigmoid,sgd,50,gru1,0.9913062453269958
InceptionExtractor,sigmoid,sgd,50,gru2,0.5594435930252075
InceptionExtractor,sigmoid,sgd,50,lstm1,0.9982612729072571
InceptionExtractor,sigmoid,sgd,50,lstm2,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,10,gru1,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,10,gru2,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,10,lstm1,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,10,lstm2,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,20,gru1,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,20,gru2,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,20,lstm1,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,20,lstm2,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,50,gru1,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,50,gru2,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,50,lstm1,0.40295588970184326
InceptionExtractor,sigmoid,adagrad,50,lstm2,0.40295588970184326
