extractor,activation_function,optimizer,seq_len,model,0
MovenetExtractor,sigmoid,adagrad,10,gru2,0.18398195505142212
MovenetExtractor,sigmoid,adagrad,10,lstm1,0.22523801028728485
MovenetExtractor,sigmoid,adagrad,10,lstm2,0.18398195505142212
MovenetExtractor,sigmoid,adagrad,20,gru1,0.2126273661851883
MovenetExtractor,sigmoid,adagrad,20,gru2,0.18398195505142212
MovenetExtractor,sigmoid,adagrad,20,lstm1,0.22523801028728485
MovenetExtractor,sigmoid,adagrad,20,lstm2,0.18398195505142212
MovenetExtractor,sigmoid,adagrad,50,gru1,0.2126273661851883
MovenetExtractor,sigmoid,adagrad,50,gru2,0.18398195505142212
MovenetExtractor,sigmoid,adagrad,50,lstm1,0.22523801028728485
MovenetExtractor,sigmoid,adagrad,50,lstm2,0.18398195505142212
