extractor,activation_function,optimizer,seq_len,model,0
MobileNetV2Extractor,sigmoid,adam,20,lstm2,0.6428929567337036
MobileNetV2Extractor,sigmoid,adam,50,gru1,0.5302321910858154
MobileNetV2Extractor,sigmoid,adam,50,gru2,0.6186738014221191
MobileNetV2Extractor,sigmoid,adam,50,lstm1,0.5425087809562683
MobileNetV2Extractor,sigmoid,adam,50,lstm2,0.6417237520217896
MobileNetV2Extractor,sigmoid,sgd,10,gru1,0.5363287329673767
MobileNetV2Extractor,sigmoid,sgd,10,gru2,0.6093202233314514
MobileNetV2Extractor,sigmoid,sgd,10,lstm1,0.5311508178710938
MobileNetV2Extractor,sigmoid,sgd,10,lstm2,0.6356272101402283
MobileNetV2Extractor,sigmoid,sgd,20,gru1,0.5404208898544312
MobileNetV2Extractor,sigmoid,sgd,20,gru2,0.6150826811790466
MobileNetV2Extractor,sigmoid,sgd,20,lstm1,0.5288124084472656
MobileNetV2Extractor,sigmoid,sgd,20,lstm2,0.6930850148200989
MobileNetV2Extractor,sigmoid,sgd,50,gru1,0.5368297696113586
MobileNetV2Extractor,sigmoid,sgd,50,gru2,0.6134958863258362
MobileNetV2Extractor,sigmoid,sgd,50,lstm1,0.5450142025947571
MobileNetV2Extractor,sigmoid,sgd,50,lstm2,0.6240187287330627
MobileNetV2Extractor,sigmoid,adagrad,10,gru1,0.4549857974052429
MobileNetV2Extractor,sigmoid,adagrad,10,gru2,0.5193753242492676
MobileNetV2Extractor,sigmoid,adagrad,10,lstm1,0.5156171917915344
MobileNetV2Extractor,sigmoid,adagrad,10,lstm2,0.5506096482276917
MobileNetV2Extractor,sigmoid,adagrad,20,gru1,0.4549857974052429
MobileNetV2Extractor,sigmoid,adagrad,20,gru2,0.5193753242492676
MobileNetV2Extractor,sigmoid,adagrad,20,lstm1,0.5155336856842041
MobileNetV2Extractor,sigmoid,adagrad,20,lstm2,0.550693154335022
MobileNetV2Extractor,sigmoid,adagrad,50,gru1,0.4549857974052429
MobileNetV2Extractor,sigmoid,adagrad,50,gru2,0.5193753242492676
MobileNetV2Extractor,sigmoid,adagrad,50,lstm1,0.5157006978988647
MobileNetV2Extractor,sigmoid,adagrad,50,lstm2,0.5506096482276917
