extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
MobileNetV2Extractor,tanh,adagrad,10,gru1,1.0,27.876052141189575,0.9960949598124684,0.99609375,0.9961295447509632
MobileNetV2Extractor,tanh,adagrad,10,gru2,1.0,46.60946297645569,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,10,lstm1,0.9994799494743347,29.73436999320984,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,10,lstm2,1.0,53.624995946884155,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,20,gru1,1.0,27.890806436538696,0.9963425281762062,0.9963414634146341,0.9963720900720767
MobileNetV2Extractor,tanh,adagrad,20,gru2,1.0,46.92187428474426,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,20,lstm1,0.9994799494743347,30.015615463256836,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,20,lstm2,1.0,53.828125953674316,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,50,gru1,1.0,28.046870231628418,0.9952175928718388,0.9952127659574468,0.9952712220283592
MobileNetV2Extractor,tanh,adagrad,50,gru2,1.0,46.890620946884155,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,50,lstm1,0.9994799494743347,29.84374475479126,1.0,1.0,1.0
MobileNetV2Extractor,tanh,adagrad,50,lstm2,1.0,53.671871185302734,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,10,gru1,1.0,27.906248569488525,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,10,gru2,1.0,47.921874046325684,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,10,lstm1,1.0,22.703126907348633,0.9995311056283818,0.99953125,0.9995316961453046
MobileNetV2Extractor,sigmoid,adam,10,lstm2,1.0,49.750001430511475,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,20,gru1,1.0,25.89063024520874,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,20,gru2,1.0,44.046876668930054,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,20,lstm1,1.0,30.265627145767212,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,20,lstm2,1.0,49.843751668930054,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,50,gru1,1.0,27.953123569488525,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,50,gru2,1.0,47.718825578689575,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,50,lstm1,1.0,29.906250715255737,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,adam,50,lstm2,1.0,44.71875214576721,1.0,1.0,1.0
MobileNetV2Extractor,sigmoid,sgd,10,gru1,0.9377708435058594,27.5,0.8875432110051542,0.89453125,0.9034290026915085
MobileNetV2Extractor,sigmoid,sgd,10,gru2,0.5715028643608093,45.56249713897705,0.32451699785317834,0.49203125,0.2420947509765625
MobileNetV2Extractor,sigmoid,sgd,10,lstm1,0.9949731230735779,29.296874046325684,0.993412487766126,0.9934375,0.9935400861911377
MobileNetV2Extractor,sigmoid,sgd,10,lstm2,0.5715028643608093,51.48437547683716,0.32451699785317834,0.49203125,0.2420947509765625
MobileNetV2Extractor,sigmoid,sgd,20,gru1,0.9377708435058594,27.59374976158142,0.886984722436815,0.8945993031358885,0.9028685247541104
MobileNetV2Extractor,sigmoid,sgd,20,gru2,0.5715028643608093,45.687498807907104,0.3409099277554393,0.506794425087108,0.2568405892993723
MobileNetV2Extractor,sigmoid,sgd,20,lstm1,0.9949731230735779,29.65625023841858,0.9919606213312983,0.99198606271777,0.9921959901982219
MobileNetV2Extractor,sigmoid,sgd,20,lstm2,0.5715028643608093,51.94054889678955,0.3409099277554393,0.506794425087108,0.2568405892993723
MobileNetV2Extractor,sigmoid,sgd,50,gru1,0.9377708435058594,27.828126668930054,0.8961793644245368,0.9045212765957447,0.9102130587114086
