extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
InceptionExtractor,relu,adagrad,10,gru2,0.571905791759491,16.901140332221985,0.5237817991658156,0.5506598552575565,0.6873942303219223
InceptionExtractor,relu,adagrad,10,lstm1,0.5106898546218872,12.545676994323731,0.4313319777045812,0.4681424719738896,0.4592068582465613
InceptionExtractor,relu,adagrad,10,lstm2,0.6064807176589966,17.811138319969178,0.43972719939074656,0.4816943380161771,0.442069784176864
InceptionExtractor,relu,adagrad,20,gru1,0.46701186895370483,12.450373029708862,0.4611164861370521,0.49572649572649574,0.6251185192167213
InceptionExtractor,relu,adagrad,20,gru2,0.572239875793457,16.971619176864625,0.5197530778511962,0.5429864253393665,0.6720714739363403
InceptionExtractor,relu,adagrad,20,lstm1,0.5088525414466858,12.545150995254517,0.4311703213679056,0.46589576001340705,0.44543209158935826
InceptionExtractor,relu,adagrad,20,lstm2,0.6101553440093994,18.85800344944,0.45214578316248705,0.496145466733702,0.44383301718695045
InceptionExtractor,relu,adagrad,50,gru1,0.4676799774169922,12.721619462966919,0.45458947918406234,0.4751189169410904,0.6928033256292688
InceptionExtractor,relu,adagrad,50,gru2,0.572740912437439,16.996259641647338,0.4862283836709673,0.4978046103183315,0.6776642798075624
InceptionExtractor,relu,adagrad,50,lstm1,0.5125271677970886,11.86435911655426,0.4515281405779733,0.49012074643249176,0.456989554959789
InceptionExtractor,relu,adagrad,50,lstm2,0.6058961153030396,18.23766334056854,0.46409467581738467,0.5023783388218075,0.46118781055164676
InceptionExtractor,tanh,adam,10,gru1,0.5033405423164368,11.286436223983765,0.40080418466762363,0.4761600681140911,0.3921068118569284
InceptionExtractor,tanh,adam,10,gru2,0.3130115270614624,17.717422938346864,0.190101864977821,0.27962253441180646,0.17739858539874215
InceptionExtractor,tanh,adam,10,lstm1,0.4751962721347809,12.142193961143494,0.40656606601143735,0.45806726266496384,0.391075028038992
InceptionExtractor,tanh,adam,10,lstm2,0.1290295571088791,17.70943672657013,0.04439190964013658,0.16049382716049382,0.025758268556622464
InceptionExtractor,tanh,adam,20,gru1,0.5164523124694824,11.826258897781372,0.4283538973811701,0.5119825708061002,0.40630344372552313
InceptionExtractor,tanh,adam,20,gru2,0.1290295571088791,15.113931918144226,0.1916177712270641,0.27911848500083797,0.17952966420502103
InceptionExtractor,tanh,adam,20,lstm1,0.5020878314971924,12.050827622413635,0.48568383006156546,0.5330149153678565,0.45369892187694794
InceptionExtractor,tanh,adam,20,lstm2,0.1290295571088791,16.651529812812804,0.1916177712270641,0.27911848500083797,0.17952966420502103
InceptionExtractor,tanh,adam,50,gru1,0.5265575647354126,11.90991997718811,0.516883085339321,0.5916575192096597,0.4746566171378653
InceptionExtractor,tanh,adam,50,gru2,0.18398195505142212,16.80074276924133,0.20533197751497012,0.27588730332967437,0.19771511903734035
InceptionExtractor,tanh,adam,50,lstm1,0.5108568668365479,12.437027049064636,0.49737189111437885,0.5660446395901939,0.4544926748560336
InceptionExtractor,tanh,adam,50,lstm2,0.1290295571088791,16.263140273094177,0.20533197751497012,0.27588730332967437,0.19771511903734035
InceptionExtractor,tanh,sgd,10,gru1,0.5897778272628784,11.379381251335143,0.5185879115063706,0.5455512984248616,0.6764390250109584
InceptionExtractor,tanh,sgd,10,gru2,0.550442636013031,14.895134806632996,0.5037857352632712,0.5315737193131829,0.5702459390343398
InceptionExtractor,tanh,sgd,10,lstm1,0.5782528519630432,11.72852702140808,0.4664156921164988,0.495033347523769,0.5417831614729196
InceptionExtractor,tanh,sgd,10,lstm2,0.5724068880081177,18.30488541126251,0.5369277288451164,0.5355470412941677,0.5779614810231635
InceptionExtractor,tanh,sgd,20,gru1,0.586520791053772,11.419488525390625,0.5437347055603791,0.5641025641025641,0.6986149150704728
InceptionExtractor,tanh,sgd,20,gru2,0.5492734313011169,15.453160119056701,0.5050066293740028,0.5300821183174125,0.5789846767210653
InceptionExtractor,tanh,sgd,20,lstm1,0.5248872637748718,11.13682301044464,0.4989504176298136,0.5280710574828222,0.5502596123515497
InceptionExtractor,tanh,sgd,20,lstm2,0.5643895268440247,20.456894302368163,0.4933482340148657,0.49715099715099714,0.5337509868611914
InceptionExtractor,tanh,sgd,50,gru1,0.592283308506012,11.30027379989624,0.5458555230404876,0.5585437248444932,0.7213030060983276
InceptionExtractor,tanh,sgd,50,gru2,0.5494404435157776,16.523646211624147,0.4712377559525925,0.48536406878887667,0.5575725606394878
InceptionExtractor,tanh,sgd,50,lstm1,0.4531484842300415,10.971468997001647,0.4545601312224196,0.49176728869374314,0.5985109663660901
InceptionExtractor,tanh,sgd,50,lstm2,0.5594621896743774,17.046101093292236,0.46691538683682676,0.46395901939260886,0.5540571100716668
InceptionExtractor,tanh,adagrad,10,gru1,0.5313178300857544,12.291838979721069,0.47561377962139406,0.5090818788136796,0.6412844411384563
InceptionExtractor,tanh,adagrad,10,gru2,0.6352096199989319,16.715718626976013,0.5963526967741011,0.6046544628920107,0.688283881176079
InceptionExtractor,tanh,adagrad,10,lstm1,0.5691498517990112,11.958088088035584,0.4579409008641211,0.49212430821626224,0.5065227823420355
InceptionExtractor,tanh,adagrad,10,lstm2,0.6677801609039307,19.06175591945648,0.6288383161689005,0.6369377039875124,0.6947928365162612
InceptionExtractor,tanh,adagrad,20,gru1,0.5314013957977295,12.704044938087463,0.478125573140024,0.5091335679570974,0.6492433724317557
InceptionExtractor,tanh,adagrad,20,gru2,0.6352096199989319,16.526420974731444,0.5953884963215731,0.6009720127367186,0.6904964462486738
InceptionExtractor,tanh,adagrad,20,lstm1,0.5690662860870361,11.48500144481659,0.46129139081999615,0.5008379420144126,0.5185932680434118
InceptionExtractor,tanh,adagrad,20,lstm2,0.6677801609039307,18.935454845428467,0.6761889077683593,0.6787330316742082,0.7140782990277221
